Run_ID,Score,Fitness
1,776,626
2,228,78
3,624,474
4,1416,1416
5,276,226
6,1128,978
7,260,210
8,596,446
9,636,486
10,664,514
11,584,434
12,488,338
13,604,554
14,1140,1090
15,672,522
16,304,204
17,640,490
18,924,774
19,312,162
20,620,470
21,200,50
22,772,622
23,1064,1014
24,580,580
25,1372,1222
26,436,286
27,476,376
28,520,370
29,664,514
30,248,98
31,756,606
32,396,246
33,732,682
34,212,62
35,808,658
36,424,274
37,680,530
38,536,386
39,1388,1238
40,512,362
41,660,510
42,364,214
43,168,118
44,560,410
45,624,474
46,572,422
47,1384,1234
48,544,544
49,676,526
50,768,618
51,464,314
52,1076,926
53,372,222
54,244,94
55,380,230
56,636,486
57,436,286
58,500,350
59,640,490
60,1064,964
61,688,638
62,1024,874
63,1300,1300
64,524,374
65,388,288
66,432,332
67,740,590
68,188,38
69,416,266
70,1428,1378
71,640,640
72,264,114
73,308,258
74,608,458
75,396,246
76,500,350
77,364,214
78,644,494
79,612,562
80,628,478
81,1220,1220
82,532,382
83,588,438
84,1120,1020
85,160,10
86,416,266
87,484,334
88,620,470
89,668,518
90,352,202
91,448,298
92,1004,854
93,464,364
94,1436,1336
95,696,546
96,320,320
97,1108,958
98,300,150
99,124,1
100,672,522
101,556,456
102,572,522
103,1956,1806
104,940,790
105,804,654
106,244,244
107,360,210
108,340,190
109,156,106
110,1120,970
111,876,826
112,540,390
113,272,122
114,688,638
115,1504,1404
116,1072,922
117,1644,1494
118,528,378
119,1120,1070
120,376,226
121,192,92
122,172,22
123,796,646
124,668,518
125,828,678
126,180,30
127,1516,1366
128,584,434
129,692,542
130,432,432
131,376,226
132,808,658
133,588,438
134,580,430
135,604,604
136,464,364
137,352,202
138,1072,922
139,588,438
140,972,822
141,200,50
142,100,50
143,1164,1014
144,808,658
145,596,496
146,704,654
147,548,398
148,756,606
149,1152,1002
150,1332,1182
151,352,202
152,444,294
153,420,270
154,476,326
155,520,370
156,1400,1300
157,632,482
158,648,498
159,1096,946
160,572,422
161,508,358
162,1412,1262
163,772,622
164,232,82
165,876,726
166,752,752
167,284,134
168,1008,858
169,228,78
170,640,490
171,472,322
172,364,214
173,596,496
174,1352,1302
175,1052,902
176,680,530
177,756,606
178,544,494
179,180,30
180,1024,874
181,524,374
182,228,78
183,760,610
184,168,18
185,508,358
